groupe;Intentions
femme_auto;1,328014589
femme_auto;2,206885599
femme_auto;1,064768114
femme_auto;1,503918984
femme_auto;0,552475181
femme_auto;1,438130651
femme_auto;0,622579453
femme_auto;1,031932621
femme_auto;1,97193515
femme_auto;1,762661412
femme_auto;1,623757589
femme_auto;1,064812028
femme_auto;0,363063029
femme_auto;1,122659309
femme_auto;1,289851229
femme_auto;1,694688567
femme_auto;0,767881789
femme_auto;3,079171356
femme_auto;1,828998896
femme_auto;1,479842953
femme_auto;1,971727843
femme_auto;1,638961013
femme_auto;0,742262346
femme_auto;2,153176917
femme_auto;1,303114592
femme_auto;2,068278505
femme_auto;1,234477317
femme_auto;2,082509341
femme_auto;1,699134738
femme_auto;1,514290915
femme_auto;2,137983745
femme_auto;0,568225153
femme_auto;0,879593605
femme_auto;1,757775143
femme_auto;2,43820241
femme_auto;3,112416238
femme_auto;0,134083967
femme_auto;1,57597367
femme_auto;2,322018619
femme_auto;0,154999517
femme_auto;1,299403271
femme_auto;2,429769811
femme_auto;2,264462485
femme_auto;2,184867702
femme_auto;2,026159158
femme_auto;0,7554534
femme_auto;2,391866982
femme_auto;1,308884974
femme_auto;0,807095111
femme_auto;2,15642122
femme_auto;1,359936589
femme_auto;2,099966208
femme_auto;0,507246872
femme_auto;1,285752169
femme_auto;1,519098383
femme_auto;1,909163779
femme_auto;1,706974812
femme_auto;1,429661239
femme_auto;1,830673555
femme_auto;1,709905952
femme_auto;2,907689293
femme_auto;1,869387193
femme_auto;1,23660082
femme_auto;1,007894351
femme_auto;1,32583886
femme_auto;1,21490732
femme_auto;0,830360622
femme_auto;2,41064583
femme_auto;1,265375604
femme_auto;2,362389464
femme_auto;1,913450023
femme_auto;1,301101673
femme_auto;2,133161839
femme_auto;0,148782003
femme_auto;1,745144548
femme_auto;0,576322156
femme_auto;2,635113564
femme_auto;2,005852015
femme_auto;0,665606915
femme_auto;2,645290714
femme_auto;0,540136135
femme_auto;2,364932796
femme_auto;1,241955379
femme_auto;0,68955422
femme_auto;-0,180584892
femme_auto;2,447573866
femme_auto;2,182354132
femme_auto;1,881104486
femme_auto;1,677174152
femme_auto;0,560764825
femme_auto;2,503872102
femme_auto;2,587007597
femme_auto;0,656926016
femme_auto;0,504159205
femme_auto;1,422271513
femme_auto;0,629029157
femme_auto;-0,588948147
femme_auto;3,076917061
femme_auto;1,119971741
femme_auto;2,776865521
femme_auto;1,06013539
femme_auto;1,101093043
femme_auto;3,132019153
femme_auto;1,141426445
femme_auto;2,386124217
femme_auto;1,682233129
femme_auto;1,289613697
femme_auto;1,550647813
femme_auto;2,057225995
femme_auto;2,289664122
femmes_hétéro;1,482314058
femmes_hétéro;3,267420249
femmes_hétéro;2,122352113
femmes_hétéro;2,419203603
femmes_hétéro;2,011313566
femmes_hétéro;1,608272103
femmes_hétéro;0,727038976
femmes_hétéro;0,664602593
femmes_hétéro;1,323065252
femmes_hétéro;1,616085271
femmes_hétéro;1,803412036
femmes_hétéro;1,782356585
femmes_hétéro;2,10655481
femmes_hétéro;1,702113395
femmes_hétéro;2,375068384
femmes_hétéro;1,571307726
femmes_hétéro;1,849177153
femmes_hétéro;1,385378193
femmes_hétéro;2,123979648
femmes_hétéro;1,372250764
femmes_hétéro;1,386534796
femmes_hétéro;1,208061843
femmes_hétéro;2,811197849
femmes_hétéro;2,269263986
femmes_hétéro;1,545106295
femmes_hétéro;1,450473487
femmes_hétéro;1,691653735
femmes_hétéro;1,822355963
femmes_hétéro;2,587974359
femmes_hétéro;2,480878072
femmes_hétéro;2,372741861
femmes_hétéro;0,963566757
femmes_hétéro;2,466881565
femmes_hétéro;1,77783407
femmes_hétéro;1,366040785
femmes_hétéro;0,729732745
femmes_hétéro;0,89177053
femmes_hétéro;1,692444244
femmes_hétéro;1,259398518
femmes_hétéro;2,337967901
femmes_hétéro;1,848735838
femmes_hétéro;2,672065896
femmes_hétéro;1,327972937
femmes_hétéro;1,378296166
femmes_hétéro;1,644540069
femmes_hétéro;0,685578631
femmes_hétéro;2,389353221
femmes_hétéro;2,252673543
femmes_hétéro;1,164234374
femmes_hétéro;2,204107389
femmes_hétéro;3,344610033
femmes_hétéro;3,187546541
femmes_hétéro;0,967045439
femmes_hétéro;2,369564786
femmes_hétéro;1,9998027
femmes_hétéro;2,052623257
femmes_hétéro;2,269475431
femmes_hétéro;2,220188772
femmes_hétéro;2,04421551
femmes_hétéro;0,728531444
femmes_hétéro;2,503765364
femmes_hétéro;0,96933173
femmes_hétéro;1,584617394
femmes_hétéro;0,811757175
femmes_hétéro;1,112148646
femmes_hétéro;1,258922368
femmes_hétéro;2,131599642
femmes_hétéro;2,239726108
femmes_hétéro;1,224061901
femmes_hétéro;1,791217641
femmes_hétéro;1,914031733
femmes_hétéro;2,667889367
femmes_hétéro;1,655629296
femmes_hétéro;2,809307542
femmes_hétéro;1,95243001
femmes_hétéro;1,953117874
femmes_hétéro;1,325868243
femmes_hétéro;1,277792919
femmes_hétéro;1,299998505
femmes_hétéro;1,093025277
femmes_hétéro;1,854265576
femmes_hétéro;2,738602835
femmes_hétéro;2,684881262
femmes_hétéro;2,199464368
femmes_hétéro;1,984082572
femmes_hétéro;2,532974114
femmes_hétéro;2,940790513
femmes_hétéro;2,422183967
femmes_hétéro;-0,045013519
femmes_hétéro;1,936750684
femmes_hétéro;2,536569263
femmes_hétéro;1,561855734
femmes_hétéro;1,986767926
femmes_hétéro;1,911335433
femmes_hétéro;2,240555867
femmes_hétéro;1,333200319
femmes_hétéro;2,4726329
femmes_hétéro;1,201792605
femmes_hétéro;0,87216643
femmes_hétéro;2,490522683
femmes_hétéro;2,729574803
femmes_hétéro;1,291430835
femmes_hétéro;1,293496806
femmes_hétéro;2,4526707
femmes_hétéro;1,852567071
femmes_hétéro;2,31827983
femmes_hétéro;1,011517589
femmes_hétéro;0,9652797
femmes_hétéro;2,677828572
femmes_hétéro;2,222287364
femmes_hétéro;1,609471041
femmes_hétéro;0,588812934
femmes_hétéro;2,093355548
femmes_hétéro;1,47841235
femmes_hétéro;2,879350746
femmes_hétéro;1,044293126
femmes_hétéro;1,840493888
femmes_hétéro;1,885687016
femmes_hétéro;1,87648085
femmes_hétéro;0,846340099
