Adoration_R;nombre_seance;aisance_info;aisance_stat;entraîné
0;0;58;3;0
0;7;44;13;0
0;0;43;0;0
1;0;68;0;0
0;0;31;0;0
0;0;23;0;0
0;5;56;8;0
0;1;26;0;0
1;0;65;3;0
0;0;64;0;0
0;0;24;0;0
0;1;74;7;0
0;0;50;0;0
1;0;33;0;0
0;0;31;0;0
0;3;20;1;0
0;3;37;7;0
0;2;21;7;0
1;0;85;0;0
0;0;52;9;0
0;7;68;7;0
0;7;21;15;0
0;0;69;0;0
1;0;84;0;0
0;3;37;8;0
0;0;59;0;0
0;3;22;7;0
0;7;46;9;0
1;3;76;0;0
0;2;82;4;0
0;0;64;0;0
0;0;63;4;0
0;0;74;0;0
1;5;50;5;0
0;0;81;0;0
0;1;46;0;0
0;0;57;0;0
0;0;31;0;0
1;0;35;0;0
0;0;66;0;0
0;9;20;8;0
0;3;68;10;0
0;0;54;1;0
1;0;65;0;0
0;0;71;0;0
0;7;39;11;0
0;3;46;13;0
0;3;36;5;0
1;1;25;0;0
0;0;73;2;0
0;1;36;3;0
0;2;40;5;0
0;8;67;8;0
1;4;51;9;0
0;0;46;0;0
0;9;51;13;0
0;0;74;0;0
0;0;75;0;0
1;0;80;3;0
0;3;56;7;0
0;2;25;12;0
0;8;62;14;0
0;0;20;0;0
1;0;43;0;0
0;0;27;7;0
0;4;67;5;0
0;1;61;0;0
0;0;18;0;0
1;0;81;0;0
0;2;36;0;0
0;5;62;1;0
0;8;42;5;0
0;0;54;1;0
1;0;78;0;0
0;6;54;10;0
0;0;52;3;0
0;0;73;0;0
0;0;23;0;0
0;0;71;0;0
0;0;59;0;0
0;0;49;0;0
0;0;82;0;0
0;0;68;6;0
0;0;31;0;0
0;15;38;17;1
1;29;20;24;1
1;21;30;23;1
1;20;21;16;1
0;15;41;14;1
1;26;56;25;1
1;25;67;31;1
0;10;76;20;1
0;15;75;19;1
1;29;41;38;1
0;15;74;17;1
0;12;84;17;1
1;24;76;32;1
1;23;19;32;1
1;29;84;30;1
0;13;81;16;1
1;19;74;25;1
1;22;79;32;1
0;16;35;24;1
1;22;48;20;1
0;14;63;20;1
1;21;50;30;1
1;21;48;29;1
0;17;63;12;1
0;16;52;19;1
0;12;78;22;1
0;13;49;21;1
1;29;24;31;1
0;10;58;12;1
1;21;27;29;1
0;17;73;20;1
0;17;19;23;1
0;12;66;9;1
1;25;20;26;1
1;26;53;26;1
1;21;55;16;1
0;12;71;20;1
1;20;74;16;1
0;10;60;17;1
1;25;31;35;1
1;27;62;22;1
1;21;74;19;1
1;21;77;21;1
1;29;30;38;1
0;15;49;22;1
0;15;23;17;1
0;17;64;14;1
1;19;46;25;1
0;11;29;18;1
1;19;77;21;1
1;20;26;17;1
0;15;23;10;1
1;29;59;24;1
1;25;56;28;1
1;30;65;26;1
1;21;76;26;1
1;25;69;29;1
1;26;55;35;1
1;20;31;20;1
0;18;76;14;1
1;18;75;15;1
1;26;24;24;1
1;24;24;24;1
1;29;39;28;1
0;13;38;9;1
0;18;46;23;1
1;20;43;22;1
1;29;85;32;1
0;11;67;9;1
0;14;68;14;1
0;11;45;7;1
0;14;65;12;1
0;14;25;11;1
1;28;81;37;1
0;16;74;22;1
1;26;79;23;1
0;17;53;25;1
1;22;70;18;1
1;23;76;30;1
1;21;80;21;1
1;24;62;26;1
1;26;19;24;1
0;18;45;22;1
1;23;57;19;1
0;10;41;18;1
1;21;71;20;1
1;29;69;31;1
0;12;64;19;1
1;21;80;20;1
0;14;23;17;1
0;16;84;18;1
0;11;82;20;1
0;11;45;19;1
0;14;23;19;1
0;17;77;18;1
0;12;57;9;1
1;27;42;28;1
0;17;73;20;1
0;17;30;12;1
1;29;25;32;1
1;21;25;20;1
0;10;53;7;1
1;27;50;30;1
1;29;62;26;1
0;15;80;23;1
0;14;21;20;1
0;17;37;13;1
1;30;34;27;1
1;29;53;25;1
0;10;45;16;1
1;23;30;24;1
1;20;23;22;1
1;24;25;30;1
1;21;73;27;1
0;12;28;8;1
0;13;80;21;1
1;20;70;16;1
1;23;25;21;1
1;25;48;34;1
0;18;79;17;1
1;20;64;23;1
1;22;61;28;1
1;27;50;32;1
1;27;69;25;1
1;21;36;18;1
0;10;35;18;1
1;20;24;23;1
1;19;79;18;1
0;13;40;8;1
1;21;78;22;1
0;13;62;9;1
1;23;36;31;1
0;16;50;21;1
0;15;50;12;1
0;17;69;17;1
1;27;83;33;1
1;25;36;29;1
1;25;37;22;1
0;13;71;12;1
1;24;35;22;1
1;22;61;17;1
1;21;42;23;1
1;18;74;17;1
1;29;46;32;1
0;14;68;10;1
1;25;23;26;1
0;10;54;11;1
0;12;30;14;1
1;25;52;21;1
1;27;62;25;1
0;11;72;21;1
0;13;66;21;1
1;22;29;20;1
0;10;72;13;1
1;24;76;29;1
0;11;20;20;1
0;17;18;27;1
0;11;76;20;1
0;16;29;13;1
1;28;72;36;1
0;12;84;18;1
1;26;37;27;1
1;30;71;28;1
0;11;40;12;1
1;28;52;37;1
0;14;85;14;1
1;26;19;34;1
0;17;55;18;1
1;23;20;23;1
0;14;23;12;1
1;23;62;31;1
0;12;50;17;1
0;16;42;15;1
1;21;24;31;1
1;22;18;18;1
1;24;78;30;1
0;10;27;18;1
0;11;84;14;1
1;19;68;20;1
1;26;84;22;1
1;21;36;21;1
1;19;54;15;1
1;28;71;27;1
1;22;37;22;1
1;20;28;29;1
1;19;26;20;1
1;22;29;21;1
1;27;81;29;1
1;23;37;31;1
1;22;85;24;1
0;12;57;9;1
0;17;68;25;1
1;20;57;28;1
0;12;23;18;1
0;10;68;9;1
0;13;26;22;1
0;12;78;18;1
1;21;59;26;1
1;29;19;32;1
0;13;67;12;1
0;17;81;19;1
1;25;44;30;1
0;14;70;10;1
1;27;65;24;1
0;12;74;11;1
1;30;48;34;1
0;14;56;11;1
0;14;60;14;1
0;10;42;14;1
1;24;58;33;1
1;25;53;33;1
1;26;39;28;1
0;16;57;20;1
1;19;35;26;1
1;24;21;22;1
1;27;69;29;1
1;21;57;21;1
0;17;45;12;1
0;12;26;21;1
0;14;74;18;1
1;25;40;29;1
0;14;21;9;1
0;17;25;25;1
0;12;67;8;1
0;18;30;24;1
1;21;45;20;1
1;23;40;27;1
0;12;18;8;1
1;27;79;30;1
0;10;21;15;1
1;23;70;30;1
1;22;21;27;1
0;18;52;17;1
1;22;38;31;1
1;28;71;33;1
0;11;49;20;1
1;22;33;31;1
0;14;78;22;1
1;24;74;20;1
0;14;24;13;1
1;23;40;31;1
1;19;83;19;1
1;25;25;25;1
1;19;28;19;1
1;25;77;27;1
0;12;30;7;1
0;13;77;17;1
0;18;38;21;1
0;12;23;9;1
1;25;72;29;1
0;12;42;9;1
1;29;68;35;1
1;22;18;17;1
1;18;36;20;1
0;17;47;21;1
0;11;30;20;1
0;18;78;19;1
0;11;80;6;1
0;17;42;21;1
0;15;30;17;1
1;23;60;32;1
0;13;35;13;1
0;15;24;20;1
1;28;35;34;1
1;21;46;24;1
0;16;83;14;1
0;11;34;20;1
1;23;25;32;1
0;15;50;18;1
0;11;27;13;1
1;20;22;26;1
0;15;84;18;1
0;10;31;8;1
0;17;59;25;1
1;18;72;21;1
0;12;72;13;1
0;12;71;8;1
0;16;32;18;1
1;23;49;30;1
0;18;78;26;1
1;30;74;34;1
0;14;59;12;1
0;13;20;12;1
1;29;28;36;1
1;28;76;29;1
1;28;28;35;1
1;18;81;19;1
0;16;43;15;1
0;17;75;27;1
1;23;69;27;1
1;21;74;26;1
1;19;18;16;1
1;27;58;33;1
0;13;69;9;1
1;20;24;16;1
1;20;82;18;1
1;25;19;26;1
1;20;55;21;1
1;23;56;21;1
1;24;46;30;1
0;10;84;16;1
0;16;75;23;1
1;23;41;28;1
0;13;50;12;1
0;13;85;10;1
0;10;49;10;1
1;29;42;29;1
0;16;80;14;1
1;29;45;25;1
1;24;23;20;1
0;17;56;22;1
1;28;74;38;1
0;10;49;6;1
0;17;27;20;1
1;25;18;22;1
1;30;45;30;1
1;22;19;24;1
0;17;29;24;1
1;25;43;26;1
1;22;84;31;1
0;16;84;16;1
0;15;54;19;1
0;13;83;20;1
1;28;69;27;1
0;11;73;21;1
1;26;38;32;1
0;11;69;19;1
1;22;35;18;1
0;11;51;10;1
1;23;74;31;1
1;24;58;19;1
0;11;55;8;1
1;18;51;18;1
1;22;71;25;1
1;29;39;34;1
0;11;45;11;1
1;28;45;27;1
0;12;40;18;1
0;17;34;17;1
0;14;66;16;1
0;15;78;16;1
1;21;45;22;1
0;16;78;20;1
0;17;70;13;1
1;27;84;32;1
1;28;23;38;1
1;22;43;23;1
0;14;80;17;1
1;27;43;29;1
0;16;38;17;1
0;17;18;23;1
1;18;33;16;1
0;10;85;16;1
1;23;49;24;1
1;21;37;31;1
1;25;39;32;1
1;25;39;22;1
1;26;36;34;1
0;13;65;22;1
0;15;61;19;1
0;11;29;17;1
1;28;23;28;1
1;29;71;27;1
1;29;28;30;1
1;28;45;25;1
1;24;82;30;1
0;12;48;18;1
1;30;31;39;1
1;27;38;36;1
1;30;78;30;1
0;13;25;12;1
0;16;44;12;1
0;14;75;16;1
1;20;56;26;1
0;12;79;19;1
1;26;70;21;1
1;18;38;14;1
0;17;48;19;1
1;25;49;34;1
1;26;60;23;1
1;19;71;23;1
0;14;48;11;1
0;10;40;18;1
0;15;54;13;1
1;23;56;23;1
1;23;81;25;1
0;14;45;19;1
1;19;78;18;1
0;11;60;14;1
0;17;40;23;1
1;21;40;23;1
0;16;64;15;1
0;12;34;9;1
0;12;21;9;1
