Opinion;Erreur
Extreme;35,3
Extreme;1,91
Extreme;37,64
Extreme;34,94
Extreme;30,64
Extreme;34,88
Extreme;33,79
Extreme;23,27
Moderee;68,15
Moderee;54,86
Moderee;56,58
Moderee;54,87
Moderee;65,21
Moderee;38,07
Moderee;34,12
Moderee;46,63
Moderee;44,51
Moderee;67,41
Moderee;45,4
Moderee;37,13
Moderee;58,6
Moderee;41,97
Moderee;45,01
Extreme;53,13
Extreme;42,29
Extreme;51,79
Extreme;44,1
Extreme;42,81
Extreme;46,32
Extreme;39,84
Extreme;39,52
Extreme;26,16
Extreme;41,25
Extreme;34,81
Extreme;35,56
Extreme;43,82
Extreme;47,61
Extreme;66,19
Moderee;40,54
Moderee;59,47
Moderee;48,69
Moderee;57,06
Moderee;49,19
Moderee;36,19
Moderee;65,75
Moderee;73,22
Moderee;46,38
Moderee;50,86
Moderee;26,13
Moderee;37,76
Moderee;60,78
Moderee;72,28
Moderee;58,35
Extreme;48,64
Extreme;76,26
Extreme;42,74
Extreme;41,98
Extreme;72
Extreme;66,12
Extreme;54,12
Extreme;51,15
Extreme;34,64
Extreme;28,68
Extreme;42,39
Extreme;64,88
Extreme;70,49
Extreme;62,5
Extreme;47,23
Moderee;53,04
Moderee;46,7
Moderee;31,23
Moderee;32,33
Moderee;56,65
Moderee;42,16
Moderee;46,71
Moderee;42,13
Moderee;53,13
Moderee;57,9
Moderee;66,8
Moderee;49,58
Moderee;36,43
Moderee;46,43
Moderee;39,96
Extreme;28,22
Extreme;50,75
Extreme;49,6
Extreme;36,09
Extreme;57,8
Extreme;29,12
Extreme;47,88
Extreme;37,28
Extreme;31,56
Extreme;55,71
Extreme;80,15
Extreme;40,32
Extreme;43,87
Extreme;72,78
Extreme;14,55
Moderee;38,1
Moderee;57,54
Moderee;78,93
Moderee;54,96
Moderee;45,28
Moderee;44,23
Moderee;63
Moderee;66,98
Moderee;72,41
Moderee;48,51
Moderee;65,6
Moderee;71,99
Moderee;67,98
Moderee;47,77
Moderee;62,99
Extreme;66,46
Extreme;41,89
Extreme;39,64
Extreme;19,81
Extreme;51,34
Extreme;41,37
Extreme;32,64
Extreme;26,62
Extreme;36,72
Extreme;42,72
Extreme;49,69
Extreme;23,44
Extreme;12,47
Extreme;32,99
Extreme;27,1
Moderee;28,07
Moderee;70,02
Moderee;37,21
Moderee;46,94
Moderee;25,51
Moderee;58,54
Moderee;47,61
Moderee;48,38
Moderee;60,17
Moderee;38,16
Moderee;38,05
Moderee;46,55
Moderee;45,75
Moderee;43,79
Moderee;56,19
Extreme;30,14
Extreme;47,57
Extreme;51,61
Extreme;60,74
Extreme;49,66
Extreme;34,83
Extreme;34,57
Extreme;47,43
Extreme;44,53
Extreme;58,41
Extreme;54,97
Extreme;30,08
Extreme;56,45
Extreme;69,2
Extreme;41,12
Moderee;32,87
Moderee;69,74
Moderee;48,06
Moderee;47,52
Moderee;39,96
Moderee;45,19
Moderee;62,4
Moderee;83,5
Moderee;48,57
Moderee;47,15
Moderee;57,09
Moderee;32,89
Moderee;43,08
Moderee;56,15
Moderee;49,49
Extreme;51,12
Extreme;14,91
Extreme;32,8
Extreme;47,09
Extreme;26,33
Extreme;31,16
Extreme;56,25
Extreme;20,48
Extreme;23,44
Extreme;35,06
Extreme;44,1
Extreme;11,22
Extreme;17,28
Extreme;43,1
Extreme;55,74
Moderee;50,17
Moderee;46,37
Moderee;61,45
Moderee;63,08
Moderee;37,29
Moderee;69,3
Moderee;52,59
Moderee;59,25
Moderee;53,04
Moderee;50,86
Moderee;55,01
Moderee;55,18
Moderee;47,7
Moderee;54,55
Moderee;49,44
Extreme;56,76
Extreme;51,58
Extreme;64,41
Extreme;36,43
Extreme;45,04
Extreme;55,08
Extreme;39,9
Extreme;39,25
Extreme;40,63
Extreme;57,64
Extreme;40,89
Extreme;39,64
Extreme;46,13
Extreme;56
Extreme;35,36
Moderee;73,88
Moderee;63,15
Moderee;57,87
Moderee;66,67
Moderee;56,2
Moderee;55,2
Moderee;63,08
Moderee;83,1
Moderee;46,17
Moderee;56,38
Moderee;52,66
Moderee;59,34
Moderee;65,55
Moderee;49,69
Moderee;50,71
Extreme;39,32
Extreme;29,93
Extreme;26,71
Extreme;25,31
Extreme;56,15
Extreme;61,48
Extreme;35,16
Extreme;42,48
Extreme;34,78
Extreme;14,58
Extreme;39,79
Extreme;45,2
Extreme;25,37
Extreme;28,47
Extreme;43,87
Moderee;33,13
Moderee;33,51
Moderee;41,75
Moderee;38,09
Moderee;31,1
Moderee;51,18
Moderee;40,03
Moderee;65,13
Moderee;57,95
Moderee;17,45
Moderee;30,55
Moderee;24,97
Moderee;45,83
Moderee;69,47
Moderee;58,7
Extreme;29,75
Extreme;49,87
Extreme;38,33
Extreme;50,12
Extreme;56,97
Extreme;41,22
Extreme;52,76
Extreme;44,01
Extreme;29,8
Extreme;30,74
Extreme;22,75
Extreme;34,04
Extreme;41,96
Extreme;31,02
Extreme;46,41
Moderee;42,42
Moderee;36,5
Moderee;46,17
Moderee;53,99
Moderee;57,91
Moderee;15,9
Moderee;57,55
Moderee;30,94
Moderee;35,26
Moderee;31,65
Moderee;28,31
Moderee;41,41
Moderee;62,93
Moderee;39,7
Moderee;54,41
