name;education;income;women;prestige;census;type;logIncome;type2
NURSING.AIDES;9,45;3485;76,14;34,9;3135;bc;8,15622332319462;bc-wc
PHYSIO.THERAPSTS;13,62;5092;82,66;72,1;3137;prof;8,5354259596773;prof
PHARMACISTS;15,21;10432;24,71;69,3;3151;prof;9,25263328416643;prof
MEDICAL.TECHNICIANS;12,79;5180;76,04;67,5;3156;wc;8,55256033525353;bc-wc
COMMERCIAL.ARTISTS;11,09;6197;21,03;57,2;3314;prof;8,73182058296211;prof
RADIO.TV.ANNOUNCERS;12,71;7562;11,15;57,6;3337;wc;8,93089098445088;bc-wc
SECRETARIES;11,59;4036;97,51;46;4111;wc;8,3030093814735;bc-wc
TYPISTS;11,49;3148;95,97;41,9;4113;wc;8,0545226095373;bc-wc
BOOKKEEPERS;11,32;4348;68,24;49,4;4131;wc;8,3774712482411;bc-wc
TELLERS.CASHIERS;10,64;2448;91,76;42,3;4133;wc;7,80302664363222;bc-wc
COMPUTER.OPERATORS;11,36;4330;75,92;47,7;4143;wc;8,37332282099653;bc-wc
SHIPPING.CLERKS;9,17;4761;11,37;30,9;4153;wc;8,46821300919452;bc-wc
FILE.CLERKS;12,09;3016;83,19;32,7;4161;wc;8,01168672912785;bc-wc
RECEPTIONSTS;11,04;2901;92,86;38,7;4171;wc;7,9728107841214;bc-wc
MAIL.CARRIERS;9,22;5511;7,62;36,1;4172;wc;8,61450137388324;bc-wc
POSTAL.CLERKS;10,07;3739;52,27;37,2;4173;wc;8,22657347497711;bc-wc
TELEPHONE.OPERATORS;10,51;3161;96,14;38,1;4175;wc;8,05864371221562;bc-wc
COLLECTORS;11,2;4741;47,06;29,4;4191;wc;8,46400336290212;bc-wc
CLAIM.ADJUSTORS;11,13;5052;56,1;51,1;4192;wc;8,52753948347038;bc-wc
TRAVEL.CLERKS;11,43;6259;39,17;35,7;4193;wc;8,7417757069247;bc-wc
OFFICE.CLERKS;11;4075;63,23;35,6;4197;wc;8,31262602567496;bc-wc
SALES.SUPERVISORS;9,84;7482;17,04;41,5;5130;wc;8,92025541490809;bc-wc
COMMERCIAL.TRAVELLERS;11,13;8780;3,16;40,2;5133;wc;9,08023168662916;bc-wc
SALES.CLERKS;10,05;2594;67,82;26,5;5137;wc;7,86095636487639;bc-wc
SERVICE.STATION.ATTENDANT;9,93;2370;3,69;23,3;5145;bc;7,77064523412918;bc-wc
INSURANCE..AGENTS;11,6;8131;13,09;47,3;5171;wc;9,00343919620784;bc-wc
REAL.ESTATE.SALESMEN;11,09;6992;24,44;47,1;5172;wc;8,85252191733537;bc-wc
BUYERS;11,03;7956;23,88;51,1;5191;wc;8,98168163997386;bc-wc
FIREFIGHTERS;9,47;8895;0;43,5;6111;bc;9,09324460009994;bc-wc
POLICEMEN;10,93;8891;1,65;51,6;6112;bc;9,09279480812114;bc-wc
COOKS;7,74;3116;52;29,7;6121;bc;8,04430540699064;bc-wc
BARTENDERS;8,5;3930;15,51;20,2;6123;bc;8,27639470486331;bc-wc
FUNERAL.DIRECTORS;10,57;7869;6,01;54,9;6141;bc;8,97068626853498;bc-wc
LAUNDERERS;7,33;3000;69,31;20,8;6162;bc;8,00636756765025;bc-wc
JANITORS;7,11;3472;33,57;17,3;6191;bc;8,15248607578024;bc-wc
ELEVATOR.OPERATORS;7,58;3582;30,08;20,1;6193;bc;8,18367658262066;bc-wc
FARM.WORKERS;8,6;1656;27,75;21,5;7182;bc;7,4121603349452;bc-wc
ROTARY.WELL.DRILLERS;8,88;6860;0;35,3;7711;bc;8,83346272071993;bc-wc
BAKERS;7,54;4199;33,3;38,9;8213;bc;8,3426016806842;bc-wc
SLAUGHTERERS.1;7,64;5134;17,26;25,2;8215;bc;8,54364036143109;bc-wc
SLAUGHTERERS.2;7,64;5134;17,26;34,8;8215;bc;8,54364036143109;bc-wc
CANNERS;7,42;1890;72,24;23,2;8221;bc;7,54433210805369;bc-wc
TEXTILE.WEAVERS;6,69;4443;31,36;33,3;8267;bc;8,3990851029359;bc-wc
TEXTILE.LABOURERS;6,74;3485;39,48;28,8;8278;bc;8,15622332319462;bc-wc
TOOL.DIE.MAKERS;10,09;8043;1,5;42,5;8311;bc;8,99255742690407;bc-wc
MACHINISTS;8,81;6686;4,28;44,2;8313;bc;8,80777106698004;bc-wc
SHEET.METAL.WORKERS;8,4;6565;2,3;35,9;8333;bc;8,7895077867369;bc-wc
WELDERS;7,92;6477;5,17;41,8;8335;bc;8,77601271918292;bc-wc
AUTO.WORKERS;8,43;5811;13,62;35,9;8513;bc;8,6675079520751;bc-wc
AIRCRAFT.WORKERS;8,78;6573;5,78;43,7;8515;bc;8,79072562826358;bc-wc
ELECTRONIC.WORKERS;8,76;3942;74,54;50,8;8534;bc;8,27944348771267;bc-wc
RADIO.TV.REPAIRMEN;10,29;5449;2,92;37,2;8537;bc;8,6031873845831;bc-wc
SEWING.MACH.OPERATORS;6,38;2847;90,67;28,2;8563;bc;7,95402108727804;bc-wc
AUTO.REPAIRMEN;8,1;5795;0,81;38,1;8581;bc;8,66475075577385;bc-wc
AIRCRAFT.REPAIRMEN;10,1;7716;0,78;50,3;8582;bc;8,95105137402562;bc-wc
RAILWAY.SECTIONMEN;6,67;4696;0;27,3;8715;bc;8,45446636150793;bc-wc
ELECTRICAL.LINEMEN;9,05;8316;1,34;40,9;8731;bc;9,0259366489779;bc-wc
ELECTRICIANS;9,93;7147;0,99;50,2;8733;bc;8,87444796721998;bc-wc
CONSTRUCTION.FOREMEN;8,24;8880;0,65;51,1;8780;bc;9,09155683598622;bc-wc
CARPENTERS;6,92;5299;0,56;38,9;8781;bc;8,57527340249276;bc-wc
MASONS;6,6;5959;0,52;36,2;8782;bc;8,69265796074698;bc-wc
HOUSE.PAINTERS;7,81;4549;2,46;29,9;8785;bc;8,42266270757;bc-wc
PLUMBERS;8,33;6928;0,61;42,9;8791;bc;8,84332645024227;bc-wc
CONSTRUCTION.LABOURERS;7,52;3910;1,09;26,5;8798;bc;8,27129265297941;bc-wc
PILOTS;12,27;14032;0,58;66,1;9111;prof;9,54909571461196;prof
TRAIN.ENGINEERS;8,49;8845;0;48,9;9131;bc;9,08760760659389;bc-wc
BUS.DRIVERS;7,58;5562;9,47;35,9;9171;bc;8,62371303479391;bc-wc
TAXI.DRIVERS;7,93;4224;3,59;25,1;9173;bc;8,3485378253861;bc-wc
LONGSHOREMEN;8,37;4753;0;26,1;9313;bc;8,46653127661401;bc-wc
TYPESETTERS;10;6462;13,58;42,2;9511;bc;8,77369414638444;bc-wc
BOOKBINDERS;8,55;3617;70,87;35,2;9517;bc;8,1934002319521;bc-wc
