"Saut";"Chien";"Essai";"Score";"Cumul.NR";"Cumul.R"
0;"c5";1;17;0;1
0;"c5";2;17;0;2
0;"c5";3;17;0;3
0;"c5";4;17;0;4
0;"c5";5;17;0;5
0;"c5";6;17;0;6
0;"c5";7;17;0;7
1;"c5";8;17;0;8
1;"c5";9;17;1;8
1;"c5";10;17;2;8
1;"c5";11;17;3;8
1;"c5";12;17;4;8
1;"c5";13;17;5;8
1;"c5";14;17;6;8
1;"c5";15;17;7;8
1;"c5";16;17;8;8
1;"c5";17;17;9;8
1;"c5";18;17;10;8
1;"c5";19;17;11;8
1;"c5";20;17;12;8
1;"c5";21;17;13;8
1;"c5";22;17;14;8
1;"c5";23;17;15;8
1;"c5";24;17;16;8
0;"c6";0;16;0;0
0;"c6";1;16;0;1
0;"c6";2;16;0;2
0;"c6";3;16;0;3
0;"c6";4;16;0;4
0;"c6";5;16;0;5
1;"c6";6;16;0;6
1;"c6";7;16;1;6
1;"c6";8;16;2;6
1;"c6";9;16;3;6
0;"c6";10;16;4;6
0;"c6";11;16;4;7
1;"c6";12;16;4;8
0;"c6";13;16;5;8
1;"c6";14;16;5;9
1;"c6";15;16;6;9
1;"c6";16;16;7;9
1;"c6";17;16;8;9
1;"c6";18;16;9;9
1;"c6";19;16;10;9
1;"c6";20;16;11;9
1;"c6";21;16;12;9
1;"c6";22;16;13;9
1;"c6";23;16;14;9
1;"c6";24;16;15;9
0;"c7";0;14;0;0
0;"c7";1;14;0;1
0;"c7";2;14;0;2
0;"c7";3;14;0;3
0;"c7";4;14;0;4
1;"c7";5;14;0;5
0;"c7";6;14;1;5
0;"c7";7;14;1;6
0;"c7";8;14;1;7
0;"c7";9;14;1;8
0;"c7";10;14;1;9
0;"c7";11;14;1;10
1;"c7";12;14;1;11
1;"c7";13;14;2;11
1;"c7";14;14;3;11
1;"c7";15;14;4;11
1;"c7";16;14;5;11
1;"c7";17;14;6;11
1;"c7";18;14;7;11
1;"c7";19;14;8;11
1;"c7";20;14;9;11
1;"c7";21;14;10;11
1;"c7";22;14;11;11
1;"c7";23;14;12;11
1;"c7";24;14;13;11
0;"c8";0;16;0;0
0;"c8";1;16;0;1
0;"c8";2;16;0;2
0;"c8";3;16;0;3
0;"c8";4;16;0;4
0;"c8";5;16;0;5
0;"c8";6;16;0;6
1;"c8";7;16;0;7
1;"c8";8;16;1;7
0;"c8";9;16;2;7
0;"c8";10;16;2;8
1;"c8";11;16;2;9
1;"c8";12;16;3;9
1;"c8";13;16;4;9
1;"c8";14;16;5;9
1;"c8";15;16;6;9
1;"c8";16;16;7;9
1;"c8";17;16;8;9
1;"c8";18;16;9;9
1;"c8";19;16;10;9
1;"c8";20;16;11;9
1;"c8";21;16;12;9
1;"c8";22;16;13;9
1;"c8";23;16;14;9
1;"c8";24;16;15;9
0;"c9";0;12;0;0
0;"c9";1;12;0;1
0;"c9";2;12;0;2
0;"c9";3;12;0;3
0;"c9";4;12;0;4
1;"c9";5;12;0;5
0;"c9";6;12;1;5
1;"c9";7;12;1;6
0;"c9";8;12;2;6
1;"c9";9;12;2;7
1;"c9";10;12;3;7
0;"c9";11;12;4;7
1;"c9";12;12;4;8
0;"c9";13;12;5;8
0;"c9";14;12;5;9
0;"c9";15;12;5;10
1;"c9";16;12;5;11
1;"c9";17;12;6;11
1;"c9";18;12;7;11
1;"c9";19;12;8;11
1;"c9";20;12;9;11
0;"c9";21;12;10;11
1;"c9";22;12;10;12
1;"c9";23;12;11;12
0;"c9";24;12;12;12
0;"c10";0;17;0;0
0;"c10";1;17;0;1
0;"c10";2;17;0;2
0;"c10";3;17;0;3
1;"c10";4;17;0;4
0;"c10";5;17;1;4
0;"c10";6;17;1;5
1;"c10";7;17;1;6
1;"c10";8;17;2;6
0;"c10";9;17;3;6
1;"c10";10;17;3;7
0;"c10";11;17;4;7
1;"c10";12;17;4;8
1;"c10";13;17;5;8
1;"c10";14;17;6;8
1;"c10";15;17;7;8
1;"c10";16;17;8;8
1;"c10";17;17;9;8
1;"c10";18;17;10;8
1;"c10";19;17;11;8
1;"c10";20;17;12;8
1;"c10";21;17;13;8
1;"c10";22;17;14;8
1;"c10";23;17;15;8
1;"c10";24;17;16;8
0;"c11";0;14;0;0
0;"c11";1;14;0;1
0;"c11";2;14;0;2
0;"c11";3;14;0;3
0;"c11";4;14;0;4
0;"c11";5;14;0;5
0;"c11";6;14;0;6
0;"c11";7;14;0;7
0;"c11";8;14;0;8
0;"c11";9;14;0;9
1;"c11";10;14;0;10
1;"c11";11;14;1;10
1;"c11";12;14;2;10
1;"c11";13;14;3;10
1;"c11";14;14;4;10
1;"c11";15;14;5;10
0;"c11";16;14;6;10
1;"c11";17;14;6;11
1;"c11";18;14;7;11
1;"c11";19;14;8;11
1;"c11";20;14;9;11
1;"c11";21;14;10;11
1;"c11";22;14;11;11
1;"c11";23;14;12;11
1;"c11";24;14;13;11
0;"c12";0;18;0;0
0;"c12";1;18;0;1
0;"c12";2;18;0;2
0;"c12";3;18;0;3
0;"c12";4;18;0;4
1;"c12";5;18;0;5
1;"c12";6;18;1;5
1;"c12";7;18;2;5
1;"c12";8;18;3;5
1;"c12";9;18;4;5
0;"c12";10;18;5;5
0;"c12";11;18;5;6
1;"c12";12;18;5;7
1;"c12";13;18;6;7
1;"c12";14;18;7;7
1;"c12";15;18;8;7
1;"c12";16;18;9;7
1;"c12";17;18;10;7
1;"c12";18;18;11;7
1;"c12";19;18;12;7
1;"c12";20;18;13;7
1;"c12";21;18;14;7
1;"c12";22;18;15;7
1;"c12";23;18;16;7
1;"c12";24;18;17;7
0;"c13";0;19;0;0
0;"c13";1;19;0;1
0;"c13";2;19;0;2
1;"c13";3;19;0;3
1;"c13";4;19;1;3
0;"c13";5;19;2;3
1;"c13";6;19;2;4
0;"c13";7;19;3;4
0;"c13";8;19;3;5
1;"c13";9;19;3;6
1;"c13";10;19;4;6
1;"c13";11;19;5;6
1;"c13";12;19;6;6
1;"c13";13;19;7;6
1;"c13";14;19;8;6
1;"c13";15;19;9;6
1;"c13";16;19;10;6
1;"c13";17;19;11;6
1;"c13";18;19;12;6
1;"c13";19;19;13;6
1;"c13";20;19;14;6
1;"c13";21;19;15;6
1;"c13";22;19;16;6
1;"c13";23;19;17;6
1;"c13";24;19;18;6
0;"c14";0;19;0;0
0;"c14";1;19;0;1
0;"c14";2;19;0;2
0;"c14";3;19;0;3
1;"c14";4;19;0;4
0;"c14";5;19;1;4
1;"c14";6;19;1;5
1;"c14";7;19;2;5
0;"c14";8;19;3;5
1;"c14";9;19;3;6
1;"c14";10;19;4;6
1;"c14";11;19;5;6
1;"c14";12;19;6;6
1;"c14";13;19;7;6
1;"c14";14;19;8;6
1;"c14";15;19;9;6
1;"c14";16;19;10;6
1;"c14";17;19;11;6
1;"c14";18;19;12;6
1;"c14";19;19;13;6
1;"c14";20;19;14;6
1;"c14";21;19;15;6
1;"c14";22;19;16;6
1;"c14";23;19;17;6
1;"c14";24;19;18;6
0;"c15";0;20;0;0
0;"c15";1;20;0;1
0;"c15";2;20;0;2
1;"c15";3;20;0;3
0;"c15";4;20;1;3
1;"c15";5;20;1;4
1;"c15";6;20;2;4
0;"c15";7;20;3;4
1;"c15";8;20;3;5
1;"c15";9;20;4;5
1;"c15";10;20;5;5
1;"c15";11;20;6;5
1;"c15";12;20;7;5
1;"c15";13;20;8;5
1;"c15";14;20;9;5
1;"c15";15;20;10;5
1;"c15";16;20;11;5
1;"c15";17;20;12;5
1;"c15";18;20;13;5
1;"c15";19;20;14;5
1;"c15";20;20;15;5
1;"c15";21;20;16;5
1;"c15";22;20;17;5
1;"c15";23;20;18;5
1;"c15";24;20;19;5
0;"c16";0;18;0;0
0;"c16";1;18;0;1
0;"c16";2;18;0;2
0;"c16";3;18;0;3
0;"c16";4;18;0;4
0;"c16";5;18;0;5
0;"c16";6;18;0;6
1;"c16";7;18;0;7
1;"c16";8;18;1;7
1;"c16";9;18;2;7
1;"c16";10;18;3;7
1;"c16";11;18;4;7
1;"c16";12;18;5;7
1;"c16";13;18;6;7
1;"c16";14;18;7;7
1;"c16";15;18;8;7
1;"c16";16;18;9;7
1;"c16";17;18;10;7
1;"c16";18;18;11;7
1;"c16";19;18;12;7
1;"c16";20;18;13;7
1;"c16";21;18;14;7
1;"c16";22;18;15;7
1;"c16";23;18;16;7
1;"c16";24;18;17;7
0;"c17";0;18;0;0
1;"c17";1;18;0;1
0;"c17";2;18;1;1
1;"c17";3;18;1;2
0;"c17";4;18;2;2
0;"c17";5;18;2;3
0;"c17";6;18;2;4
1;"c17";7;18;2;5
0;"c17";8;18;3;5
1;"c17";9;18;3;6
1;"c17";10;18;4;6
1;"c17";11;18;5;6
1;"c17";12;18;6;6
0;"c17";13;18;7;6
1;"c17";14;18;7;7
1;"c17";15;18;8;7
1;"c17";16;18;9;7
1;"c17";17;18;10;7
1;"c17";18;18;11;7
1;"c17";19;18;12;7
1;"c17";20;18;13;7
1;"c17";21;18;14;7
1;"c17";22;18;15;7
1;"c17";23;18;16;7
1;"c17";24;18;17;7
0;"c18";0;18;0;0
0;"c18";1;18;0;1
0;"c18";2;18;0;2
0;"c18";3;18;0;3
1;"c18";4;18;0;4
0;"c18";5;18;1;4
1;"c18";6;18;1;5
0;"c18";7;18;2;5
1;"c18";8;18;2;6
1;"c18";9;18;3;6
1;"c18";10;18;4;6
1;"c18";11;18;5;6
1;"c18";12;18;6;6
0;"c18";13;18;7;6
1;"c18";14;18;7;7
1;"c18";15;18;8;7
1;"c18";16;18;9;7
1;"c18";17;18;10;7
1;"c18";18;18;11;7
1;"c18";19;18;12;7
1;"c18";20;18;13;7
1;"c18";21;18;14;7
1;"c18";22;18;15;7
1;"c18";23;18;16;7
1;"c18";24;18;17;7
0;"c19";0;17;0;0
1;"c19";1;17;0;1
0;"c19";2;17;1;1
0;"c19";3;17;1;2
0;"c19";4;17;1;3
0;"c19";5;17;1;4
1;"c19";6;17;1;5
0;"c19";7;17;2;5
0;"c19";8;17;2;6
0;"c19";9;17;2;7
1;"c19";10;17;2;8
1;"c19";11;17;3;8
1;"c19";12;17;4;8
1;"c19";13;17;5;8
1;"c19";14;17;6;8
1;"c19";15;17;7;8
1;"c19";16;17;8;8
1;"c19";17;17;9;8
1;"c19";18;17;10;8
1;"c19";19;17;11;8
1;"c19";20;17;12;8
1;"c19";21;17;13;8
1;"c19";22;17;14;8
1;"c19";23;17;15;8
1;"c19";24;17;16;8
0;"c20";0;17;0;0
0;"c20";1;17;0;1
0;"c20";2;17;0;2
0;"c20";3;17;0;3
1;"c20";4;17;0;4
1;"c20";5;17;1;4
0;"c20";6;17;2;4
1;"c20";7;17;2;5
0;"c20";8;17;3;5
1;"c20";9;17;3;6
1;"c20";10;17;4;6
0;"c20";11;17;5;6
1;"c20";12;17;5;7
0;"c20";13;17;6;7
1;"c20";14;17;6;8
1;"c20";15;17;7;8
1;"c20";16;17;8;8
1;"c20";17;17;9;8
1;"c20";18;17;10;8
1;"c20";19;17;11;8
1;"c20";20;17;12;8
1;"c20";21;17;13;8
1;"c20";22;17;14;8
1;"c20";23;17;15;8
1;"c20";24;17;16;8
0;"c21";0;21;0;0
0;"c21";1;21;0;1
0;"c21";2;21;0;2
1;"c21";3;21;0;3
1;"c21";4;21;1;3
1;"c21";5;21;2;3
1;"c21";6;21;3;3
1;"c21";7;21;4;3
0;"c21";8;21;5;3
1;"c21";9;21;5;4
1;"c21";10;21;6;4
1;"c21";11;21;7;4
1;"c21";12;21;8;4
1;"c21";13;21;9;4
1;"c21";14;21;10;4
1;"c21";15;21;11;4
1;"c21";16;21;12;4
1;"c21";17;21;13;4
1;"c21";18;21;14;4
1;"c21";19;21;15;4
1;"c21";20;21;16;4
1;"c21";21;21;17;4
1;"c21";22;21;18;4
1;"c21";23;21;19;4
1;"c21";24;21;20;4
0;"c22";0;19;0;0
0;"c22";1;19;0;1
1;"c22";2;19;0;2
0;"c22";3;19;1;2
1;"c22";4;19;1;3
0;"c22";5;19;2;3
1;"c22";6;19;2;4
1;"c22";7;19;3;4
1;"c22";8;19;4;4
1;"c22";9;19;5;4
1;"c22";10;19;6;4
1;"c22";11;19;7;4
1;"c22";12;19;8;4
1;"c22";13;19;9;4
1;"c22";14;19;10;4
1;"c22";15;19;11;4
0;"c22";16;19;12;4
0;"c22";17;19;12;5
1;"c22";18;19;12;6
1;"c22";19;19;13;6
1;"c22";20;19;14;6
1;"c22";21;19;15;6
1;"c22";22;19;16;6
1;"c22";23;19;17;6
1;"c22";24;19;18;6
0;"c23";0;18;0;0
0;"c23";1;18;0;1
0;"c23";2;18;0;2
0;"c23";3;18;0;3
0;"c23";4;18;0;4
0;"c23";5;18;0;5
0;"c23";6;18;0;6
1;"c23";7;18;0;7
1;"c23";8;18;1;7
1;"c23";9;18;2;7
1;"c23";10;18;3;7
1;"c23";11;18;4;7
1;"c23";12;18;5;7
1;"c23";13;18;6;7
1;"c23";14;18;7;7
1;"c23";15;18;8;7
1;"c23";16;18;9;7
1;"c23";17;18;10;7
1;"c23";18;18;11;7
1;"c23";19;18;12;7
1;"c23";20;18;13;7
1;"c23";21;18;14;7
1;"c23";22;18;15;7
1;"c23";23;18;16;7
1;"c23";24;18;17;7
0;"c24";0;12;0;0
0;"c24";1;12;0;1
0;"c24";2;12;0;2
0;"c24";3;12;0;3
0;"c24";4;12;0;4
0;"c24";5;12;0;5
0;"c24";6;12;0;6
0;"c24";7;12;0;7
1;"c24";8;12;0;8
1;"c24";9;12;1;8
1;"c24";10;12;2;8
0;"c24";11;12;3;8
1;"c24";12;12;3;9
0;"c24";13;12;4;9
0;"c24";14;12;4;10
0;"c24";15;12;4;11
1;"c24";16;12;4;12
1;"c24";17;12;5;12
0;"c24";18;12;6;12
1;"c24";19;12;6;13
1;"c24";20;12;7;13
1;"c24";21;12;8;13
1;"c24";22;12;9;13
1;"c24";23;12;10;13
1;"c24";24;12;11;13
0;"c25";0;16;0;0
0;"c25";1;16;0;1
0;"c25";2;16;0;2
0;"c25";3;16;0;3
0;"c25";4;16;0;4
0;"c25";5;16;0;5
1;"c25";6;16;0;6
0;"c25";7;16;1;6
1;"c25";8;16;1;7
1;"c25";9;16;2;7
1;"c25";10;16;3;7
1;"c25";11;16;4;7
0;"c25";12;16;5;7
1;"c25";13;16;5;8
0;"c25";14;16;6;8
1;"c25";15;16;6;9
1;"c25";16;16;7;9
1;"c25";17;16;8;9
1;"c25";18;16;9;9
1;"c25";19;16;10;9
1;"c25";20;16;11;9
1;"c25";21;16;12;9
1;"c25";22;16;13;9
1;"c25";23;16;14;9
1;"c25";24;16;15;9
0;"c26";0;20;0;0
0;"c26";1;20;0;1
1;"c26";2;20;0;2
0;"c26";3;20;1;2
1;"c26";4;20;1;3
1;"c26";5;20;2;3
1;"c26";6;20;3;3
0;"c26";7;20;4;3
1;"c26";8;20;4;4
1;"c26";9;20;5;4
0;"c26";10;20;6;4
1;"c26";11;20;6;5
1;"c26";12;20;7;5
1;"c26";13;20;8;5
1;"c26";14;20;9;5
1;"c26";15;20;10;5
1;"c26";16;20;11;5
1;"c26";17;20;12;5
1;"c26";18;20;13;5
1;"c26";19;20;14;5
1;"c26";20;20;15;5
1;"c26";21;20;16;5
1;"c26";22;20;17;5
1;"c26";23;20;18;5
1;"c26";24;20;19;5
0;"c27";0;20;0;0
0;"c27";1;20;0;1
0;"c27";2;20;0;2
0;"c27";3;20;0;3
1;"c27";4;20;0;4
0;"c27";5;20;1;4
1;"c27";6;20;1;5
1;"c27";7;20;2;5
1;"c27";8;20;3;5
1;"c27";9;20;4;5
1;"c27";10;20;5;5
1;"c27";11;20;6;5
1;"c27";12;20;7;5
1;"c27";13;20;8;5
1;"c27";14;20;9;5
1;"c27";15;20;10;5
1;"c27";16;20;11;5
1;"c27";17;20;12;5
1;"c27";18;20;13;5
1;"c27";19;20;14;5
1;"c27";20;20;15;5
1;"c27";21;20;16;5
1;"c27";22;20;17;5
1;"c27";23;20;18;5
1;"c27";24;20;19;5
0;"c28";0;18;0;0
0;"c28";1;18;0;1
0;"c28";2;18;0;2
1;"c28";3;18;0;3
0;"c28";4;18;1;3
1;"c28";5;18;1;4
0;"c28";6;18;2;4
1;"c28";7;18;2;5
1;"c28";8;18;3;5
1;"c28";9;18;4;5
0;"c28";10;18;5;5
1;"c28";11;18;5;6
0;"c28";12;18;6;6
1;"c28";13;18;6;7
1;"c28";14;18;7;7
1;"c28";15;18;8;7
1;"c28";16;18;9;7
1;"c28";17;18;10;7
1;"c28";18;18;11;7
1;"c28";19;18;12;7
1;"c28";20;18;13;7
1;"c28";21;18;14;7
1;"c28";22;18;15;7
1;"c28";23;18;16;7
1;"c28";24;18;17;7
0;"c29";0;15;0;0
0;"c29";1;15;0;1
0;"c29";2;15;0;2
0;"c29";3;15;0;3
1;"c29";4;15;0;4
1;"c29";5;15;1;4
0;"c29";6;15;2;4
0;"c29";7;15;2;5
1;"c29";8;15;2;6
1;"c29";9;15;3;6
1;"c29";10;15;4;6
0;"c29";11;15;5;6
1;"c29";12;15;5;7
0;"c29";13;15;6;7
1;"c29";14;15;6;8
0;"c29";15;15;7;8
1;"c29";16;15;7;9
0;"c29";17;15;8;9
1;"c29";18;15;8;10
1;"c29";19;15;9;10
1;"c29";20;15;10;10
1;"c29";21;15;11;10
1;"c29";22;15;12;10
1;"c29";23;15;13;10
1;"c29";24;15;14;10
0;"c30";0;19;0;0
0;"c30";1;19;0;1
0;"c30";2;19;0;2
0;"c30";3;19;0;3
1;"c30";4;19;0;4
1;"c30";5;19;1;4
1;"c30";6;19;2;4
1;"c30";7;19;3;4
1;"c30";8;19;4;4
1;"c30";9;19;5;4
0;"c30";10;19;6;4
1;"c30";11;19;6;5
0;"c30";12;19;7;5
1;"c30";13;19;7;6
1;"c30";14;19;8;6
1;"c30";15;19;9;6
1;"c30";16;19;10;6
1;"c30";17;19;11;6
1;"c30";18;19;12;6
1;"c30";19;19;13;6
1;"c30";20;19;14;6
1;"c30";21;19;15;6
1;"c30";22;19;16;6
1;"c30";23;19;17;6
1;"c30";24;19;18;6
